Q15006,Q9Y3B6
P17028,Q9NWS9
Q86U70,Q8TAP4
O43251,Q15038
Q14134,Q96CN9
P78368,Q9Y5P4
P43355,Q9BZY9
Q96FJ2,Q9NSC5
Q15056,Q9H3H3
Q15645,Q8IVS8
Q6UY14,Q9BQ66
O60232,P49368
Q8TBB1,Q9UJ70
P10276,P28702
P63010,Q9NVV9
Q9P2K6,Q9UHV2
Q6IA69,Q9NTM9
Q8N6Y0,Q9UJW9
Q3YEC7,Q99750
Q7Z6G3,Q7Z6G3
P63010,Q96HA1
Q12933,Q6FIF0
O75506,Q9Y3C0
O43598,O43598
Q56P03,Q9Y312
P30281,Q96EV8
P21673,Q96F10
Q8WZ19,Q96E35
O15198,Q13485
P26641,P29692
P46108,Q7L190
O94972,Q96T60
Q15154,Q9NYB9
P30279,P38936
O94855,Q15437
O00148,P82979
P57077,Q8N5C8
P57086,Q9NX65
Q8TBB1,Q8WZ19
P23434,Q13287
O43488,O95154
Q8IYF3,Q96GY3
Q5TAQ9,Q99750
Q8TBB1,Q96M61
Q13155,Q8TBB1
Q15637,Q93062
O76083,Q96FC7
Q7Z6G3,Q9P2K3
Q96HT8,Q9UBU8
Q15154,Q8IYI6
P43364,Q9NXH9
Q99750,Q9H9D4
Q969Y2,Q9NR21
O95154,O95154
P61978,Q9NQX5
Q9H446,Q9Y295
O95273,Q9HCZ1
Q96CV9,Q9Y3C0
Q8TBB1,Q96GX9
P49639,Q9BQ66
Q9NWS9,Q9UNY5
Q86UW9,Q9Y2X8
Q14687,Q9P2K3
Q9UI14,Q9UNI6
Q9H267,Q9H9C1
Q8TBB1,Q92841
Q14919,Q92569
O75604,Q12933
P19012,Q9BVI4
Q03393,Q03393
Q13435,Q15427
Q99750,Q9UQ90
P60520,Q9GZZ9
O43663,O94972
Q9UJX2,Q9Y3Q8
P37198,Q9Y3C0
O14978,Q8WV44
P19012,Q9BTA9
Q9UHX1,Q9UHX1
P14136,Q96HL8
P52737,Q99750
P63010,Q9NVZ3
Q15834,Q96EZ8
O95865,Q15645
O94972,P53618
Q15041,Q9BT40
Q7Z6G3,Q8TBB1
O43281,O75865
Q06455,Q0VDD7
Q15050,Q92624
P60891,Q9NZD8
O15155,Q8N6Y0
Q5T013,Q8IYF3
Q6RW13,Q9UKF7
P43364,Q8N131
P43364,Q9BXY8
P50402,Q8N7W2
Q15311,Q96ED9
O75716,P49247
P37235,Q86UW9
Q9UHA3,Q9UJW3
Q15102,Q9H190
Q12933,Q8N2X6
Q12933,Q8TBE0
O14641,P49674
Q15834,Q9UFG5
P43364,Q9BQ70
Q99750,Q9H7H0
P24534,P26641
P26641,Q12905
Q15038,Q9BSL1
P35638,Q9BTE3
Q8N184,Q9NYL2
O43765,Q96SL4
Q12846,Q15836
O00161,O76038
Q8NHQ1,Q9H9D4
O00308,Q9NR12
P21673,Q8TBB1
Q96AT9,Q96AT9
P36575,Q96IT1
Q8NEC5,Q99750
P22234,P22234
P17152,Q12983
P16444,Q96EK5
O43639,Q9NZQ3
P40692,Q96NE9
Q15645,Q96JB6
O75716,Q8N5Z5
Q9NWS9,Q9UMX1
P56545,Q15583
P43355,Q9NR46
P63279,Q9H444
P61601,Q86UW9
P33993,Q9NS73
Q15555,Q15555
O75886,Q969R5
Q96EQ0,Q9Y5P3
P50222,Q9BQ66
P61289,P61289
Q9NYB9,Q9Y3C0
O75461,Q14186
Q93062,Q96LM6
Q9UHY1,Q9Y3Q8
P46108,P62333
O14641,P04637
P32929,P32929
Q9UJ70,Q9UJ70
P62829,Q9P287
Q9NTM9,Q9NZD8
O00506,Q9BUL8
Q96MF2,Q96MF2
P43364,Q8TDX5
Q08379,Q14134
Q8N5R6,Q96ED9
Q99750,Q9NQX5
P43364,Q8IYD9
P55735,Q96JE7
Q8TBK6,Q96MF2
P81877,Q86U70
Q15038,Q9BQY4
Q96H86,Q9UMX1
Q96EZ8,Q9NPJ6
O14641,O95817
O14964,Q96LR2
Q9NPQ8,Q9UMX0
Q96PP8,Q96PP8
O43298,Q8TBB1
P43358,Q86WT6
P42568,Q92624
P35900,Q9Y2J4
P63010,Q7Z3B4
Q14781,Q99750
Q92609,Q96CW1
P57086,Q9P0L1
Q9BVM2,Q9Y230
P51808,P51808
P56279,Q13137
Q13287,Q8N4P3
Q13200,Q8WVY7
O14978,P57086
Q96ED9,Q9H8T0
P49760,P49761
Q8TAU3,Q99750
Q9H190,Q9NZ81
Q9H4D5,Q9UKK6
Q99750,Q9H1D0
O75716,Q6UY14
Q8IY31,Q9NYB9
Q14134,Q8NHQ1
O14964,Q15038
P50552,Q9C026
O14964,P63279
Q14376,Q14376
Q00796,Q00796
O75525,P61978
P61978,Q5VWX1
Q92692,Q99750
P17028,Q9NX65
O43809,Q16630
O96006,P63279
Q7Z3B3,Q7Z6G3
Q0VDD7,Q9BT78
Q96S44,Q9Y3C4
Q59EK9,Q9BXS5
O75830,Q9UMX0
Q96C03,Q9UI14
Q96EZ8,Q9Y3C0
O60238,Q12983
O14879,Q05D60
Q01844,Q9H467
Q96GT9,Q96KQ7
O95967,Q9UMX0
O14879,O14879
O43765,Q9BXJ1
Q8N6Y0,Q8TAB5
Q14919,Q16594
P41220,Q9Y2I6
Q13137,Q13137
P36406,Q9P0T4
O95073,Q8N8B7
Q9BQD3,Q9UJ41
Q9H8W4,Q9NS73
Q01658,Q9NRF9
P54920,Q13190
Q13137,Q9H0I2
Q7Z6G3,Q9HC98
Q5D1E8,Q9NZD4
Q9BT04,Q9BU20
O94972,Q8TAU3
Q8N612,Q96HR9
Q13137,Q9BVV2
Q96A72,Q9Y2J4
Q53EZ4,Q99816
O43791,P28702
Q8IYI8,Q99750
P14317,Q9H788
P43364,Q96JH8
O15389,Q15645
Q9NRS6,Q9UI14
O14576,Q9NP97
Q15233,Q15233
Q06455,Q7Z6G3
Q16851,Q16851
P49910,Q86V42
P57081,Q9UBP6
O00204,Q96Q35
P30626,Q13137
Q9BPX1,Q9BPX1
P60981,P63261
Q13526,Q93062
P45381,P45381
O75525,Q5VWX1
Q14566,Q8WYH8
P43358,Q8WW24
O14641,Q93062
Q8TBE0,Q92997
Q49AR2,Q9Y2W2
P49901,Q9BQ66
P51116,Q96EZ8
Q9BQY4,Q9Y2Y4
P62333,Q8TAB5
Q92997,Q9H9D4
P61457,Q9H8Y8
Q5JR59,Q8TAB5
O76003,Q6FI81
O95639,Q6UN15
P60891,P60891
Q13287,Q9XRX5
O43639,Q15427
O60941,Q9BUH8
P55039,Q9H446
Q96EF0,Q96QG7
P30039,Q15645
Q08209,Q96GX8
P14136,Q5T2W1
A9UHW6,Q9NUU7
P60891,Q9H8Y8
P38159,Q14011
O95751,Q96GM5
O43639,Q13191
P62760,Q96AQ9
O96015,Q5TD97
P49321,Q71DI3
Q9HCS7,Q9UNP9
Q92997,Q96L94
O94829,Q15699
P30279,P46527
Q13352,Q9Y5P4
Q7L190,Q7Z7J5
P42224,Q8N9N8
O14641,Q96BN8
Q8IYF3,Q96HA1
O43683,O95376
Q12933,Q13490
P49910,P57086
Q8TBB1,Q9BQD3
O75340,O75340
O43251,Q93062
Q96KQ7,Q9Y4X4
Q99750,Q9P0T4
Q13526,Q99708
O95214,Q96E93
O43765,Q8TCT8
Q12788,Q92624
Q8WWB3,Q9C005
P07902,Q15645
P61077,Q9HCM9
O15162,Q92734
Q53HV7,Q93062
Q96C03,Q9UMX0
P61225,Q59EK9
Q15555,Q9UPY8
O14964,O75886
P48723,Q9UMX0
Q9P2K6,Q9UMX0
O94972,Q96EZ8
Q01844,Q8N684
P37198,Q9NVV9
P41227,Q96KQ7
O95817,Q9UJY1
Q9H832,Q9H8W4
Q8NE01,Q99750
Q9H8E8,Q9NS73
P43364,Q9H788
Q96IJ6,Q9Y5P6
Q14847,Q99750
O95817,Q15038
Q13287,Q9Y6C2
O60238,P17152
Q7L590,Q9Y2I6
O60232,P48643
P19012,Q8TBB1
O14964,O43513
O43791,P35638
Q96H86,Q99750
Q99594,Q9GZV5
Q8N715,Q99750
O75150,Q09161
O15162,Q12906
P25963,Q96HA1
P07992,Q96S82
O00233,P62333
Q8N6Y0,Q9BVI4
P42772,P43364
P46527,Q12933
O00308,Q16630
O14777,Q8N6Y0
P62495,Q14145
Q7Z3B3,Q8NHQ1
Q8IVL1,Q8WYH8
P49903,P49903
P43364,Q49A88
Q13137,Q9H9D4
Q15645,Q9NTN9
Q9BQ66,Q9P0T4
O95391,Q9H2H8
P37235,Q9NP66
Q93062,Q9NQ87
P43364,Q15560
Q06547,Q8NHU6
Q9BQY4,Q9BUX1
O43765,Q9H2B2
O14964,P05783
P05783,Q9Y5B8
P38159,P61978
P23497,P63165
O75909,Q07002
Q15645,Q9NRY6
Q8NHQ1,Q9H0I2
